Pais;Nome_Regiao;Codigo_Regiao;Nome_UF;Codigo_UF;Sigla_UF;Ano;Populacao_Total;Populacao_Homens;Populacao_Mulheres;Nascimentos;Obitos;TBN;TBM;EVN;EVN_Homens;EVN_Mulheres;TMI;TMI_Homens;TMI_Mulheres;TFT;TEF_15_19;TEF_20_24;TEF_25_29;TEF_30_34;TEF_35_39;TEF_40_44;TEF_45_49;Rz_Dep_Jovens;Rz_Dep_Idosos;Rz_Dep_Total;Indice_Envelhecimento;Proporcao_0a14anos;Proporcao_15a64anos;Proporcao_65anosoumais;Proporcao_15a59anos;Proporcao_60anosoumais;Idade_Mediana
Brasil;Todas;0;Todas;0;BR;2010;194890682;95513298;99377384;2939435;1240083;15,08;6,36;73,86;70,21;77,6;17,22;18,76;15,59;1,75;0,0642;0,0957;0,085;0,062;0,0331;0,0093;8,00E-04;36,32;10,77;47,09;29,55;24,7;68;7,3;64,6;10,71;29,2
Brasil;Todas;0;Todas;0;BR;2011;196603732;96322635;100281097;2974525;1247751;15,13;6,35;74,2;70,57;77,91;16,43;17,86;14,92;1,76;0,064;0,0946;0,0855;0,0642;0,0342;0,0094;8,00E-04;35,37;10,99;46,36;30,99;24,2;68,3;7,5;64,84;11;29,63
Brasil;Todas;0;Todas;0;BR;2012;198314934;97132054;101182880;2953890;1258235;14,89;6,34;74,52;70,91;78,22;15,69;17,03;14,29;1,75;0,0633;0,0918;0,0839;0,0652;0,0347;0,0094;7,00E-04;34,45;11,24;45,68;32,63;23,6;68,6;7,7;65,05;11,3;30,06
Brasil;Todas;0;Todas;0;BR;2013;200004188;97931331;102072857;2953178;1270306;14,77;6,35;74,84;71,25;78,51;15,02;16,27;13,7;1,74;0,0632;0,09;0,0828;0,0664;0,035;0,0095;7,00E-04;33,56;11,51;45,07;34,2;23,1;68,9;7,9;65,24;11,62;30,49
Brasil;Todas;0;Todas;0;BR;2014;201717541;98744098;102973443;3028202;1284346;15,01;6,37;75,14;71,57;78,78;14,4;15,58;13,16;1,78;0,0642;0,0908;0,0848;0,0687;0,0367;0,0099;7,00E-04;32,78;11,81;44,59;36,12;22,7;69,2;8,2;65,37;11,96;30,92
Brasil;Todas;0;Todas;0;BR;2015;203475683;99581002;103894681;3070979;1299541;15,09;6,39;75,44;71,88;79,05;13,82;14,93;12,65;1,8;0,0635;0,0911;0,0862;0,0702;0,0385;0,0102;7,00E-04;32,15;12,13;44,29;37,67;22,3;69,3;8,4;65,41;12,31;31,33
Brasil;Todas;0;Todas;0;BR;2016;205156587;100379640;104776947;2901053;1314164;14,14;6,41;75,72;72,18;79,31;13,29;14,35;12,19;1,7;0,0586;0,0864;0,0811;0,0665;0,0374;0,0099;7,00E-04;31,57;12,49;44,05;39,73;21,9;69,4;8,7;65,42;12,67;31,75
Brasil;Todas;0;Todas;0;BR;2017;206804741;101163599;105641142;3020743;1330811;14,61;6,44;75,99;72,46;79,56;12,81;13,8;11,75;1,78;0,0606;0,0897;0,0847;0,0697;0,0393;0,0105;8,00E-04;31,11;12,87;43,98;41,2;21,6;69,5;8,9;65,34;13,05;32,17
Brasil;Todas;0;Todas;0;BR;2018;208494900;101971173;106523727;3003585;1349693;14,41;6,47;76,25;72,74;79,8;12,35;13,31;11,35;1,77;0,0598;0,0889;0,0846;0,0699;0,0395;0,0106;8,00E-04;30,75;13,28;44,03;43,19;21,3;69,4;9,2;65,21;13,44;32,58
Brasil;Todas;0;Todas;0;BR;2019;210147125;102760295;107386830;2984414;1368954;14,2;6,51;76,5;73;80,03;11,94;12,85;10,98;1,77;0,059;0,0882;0,0845;0,0701;0,0397;0,0107;9,00E-04;30,42;13,72;44,14;45,02;21,1;69,4;9,5;65,05;13,85;32,99
Brasil;Todas;0;Todas;0;BR;2020;211755692;103527689;108228003;2963516;1389144;13,99;6,56;76,74;73,26;80,25;11,56;12,43;10,64;1,76;0,0583;0,0875;0,0843;0,0703;0,0399;0,0108;9,00E-04;30,11;14,18;44,29;46,89;20,9;69,3;9,8;64,87;14,26;33,4
Brasil;Todas;0;Todas;0;BR;2021;213317639;104271843;109045796;2940629;1410602;13,79;6,61;76,97;73,5;80,46;11,2;12,04;10,32;1,76;0,0576;0,0868;0,0842;0,0705;0,0401;0,0109;9,00E-04;29,83;14,67;44,5;49,51;20,6;69,2;10,2;64,67;14,69;33,81
Brasil;Todas;0;Todas;0;BR;2022;214828540;104990487;109838053;2913688;1433605;13,56;6,67;77,19;73,74;80,67;10,88;11,68;10,03;1,75;0,0569;0,0862;0,0841;0,0707;0,0403;0,011;0,001;29,63;15,19;44,82;51,22;20,5;69,1;10,5;64,42;15,13;34,21
Brasil;Todas;0;Todas;0;BR;2023;216284269;105681529;110602740;2885501;1458023;13,34;6,74;77,4;73,96;80,86;10,58;11,36;9,75;1,75;0,0562;0,0856;0,0841;0,071;0,0406;0,0111;0,001;29,43;15,74;45,17;53,2;20,3;68,9;10,8;64,15;15,57;34,61
Brasil;Todas;0;Todas;0;BR;2024;217684462;106345043;111339419;2856690;1483777;13,12;6,82;77,6;74,17;81,05;10,3;11,05;9,5;1,74;0,0555;0,0849;0,084;0,0712;0,0408;0,0112;0,0011;29,26;16,31;45,56;55,72;20,1;68,7;11,2;63,88;16,02;35,01
Brasil;Todas;0;Todas;0;BR;2025;219029093;106981304;112047789;2827039;1510693;12,91;6,9;77,8;74,38;81,22;10,04;10,77;9,27;1,74;0,0548;0,0843;0,0839;0,0714;0,041;0,0113;0,0011;29,11;16,9;46,01;58,29;19,9;68,5;11,6;63,59;16,47;35,41
Brasil;Todas;0;Todas;0;BR;2026;220316530;107589495;112727035;2797674;1539159;12,7;6,99;77,98;74,57;81,39;9,8;10,51;9,05;1,74;0,054;0,0838;0,0839;0,0717;0,0412;0,0114;0,0011;28,95;17,51;46,45;60,61;19,8;68,3;12;63,31;16,93;35,81
Brasil;Todas;0;Todas;0;BR;2027;221545234;108168830;113376404;2768000;1569117;12,49;7,08;78,16;74,76;81,56;9,58;10,27;8,85;1,73;0,0533;0,0832;0,0839;0,0719;0,0415;0,0115;0,0012;28,77;18,14;46,9;62,76;19,6;68,1;12,3;63,03;17,38;36,2
Brasil;Todas;0;Todas;0;BR;2028;222713669;108718587;113995082;2738355;1600375;12,3;7,19;78,32;74,94;81,71;9,37;10,05;8,66;1,73;0,0525;0,0826;0,0838;0,0721;0,0417;0,0117;0,0012;28,59;18,78;47,37;65,46;19,4;67,9;12,7;62,76;17,84;36,59
Brasil;Todas;0;Todas;0;BR;2029;223821305;109238514;114582791;2710134;1632845;12,11;7,3;78,49;75,11;81,86;9,18;9,84;8,49;1,72;0,0518;0,0821;0,0838;0,0724;0,0419;0,0118;0,0012;28,36;19,42;47,79;68,23;19,2;67,7;13,1;62,52;18,29;36,97
Brasil;Todas;0;Todas;0;BR;2030;224868462;109728762;115139700;2683440;1666427;11,93;7,41;78,64;75,28;82;9,01;9,65;8,33;1,72;0,051;0,0815;0,0838;0,0727;0,0422;0,0119;0,0013;28,08;20,06;48,14;71,05;19;67,5;13,5;62,31;18,73;37,36
Brasil;Todas;0;Todas;0;BR;2031;225854415;110189007;115665408;2655850;1700970;11,76;7,53;78,78;75,43;82,14;8,85;9,48;8,18;1,72;0,0504;0,0809;0,0838;0,0729;0,0424;0,012;0,0013;27,84;20,71;48,55;74,33;18,7;67,3;13,9;62,09;19,17;37,74
Brasil;Todas;0;Todas;0;BR;2032;226777802;110618592;116159210;2628742;1736861;11,59;7,66;78,92;75,58;82,27;8,7;9,32;8,05;1,72;0,0497;0,0803;0,0838;0,0731;0,0426;0,0121;0,0014;27,61;21,36;48,97;77,3;18,5;67,1;14,3;61,87;19,6;38,12
Brasil;Todas;0;Todas;0;BR;2033;227638581;111017537;116621044;2603540;1773877;11,44;7,79;79,05;75,72;82,39;8,57;9,18;7,92;1,71;0,0491;0,0797;0,0839;0,0734;0,0428;0,0122;0,0014;27,32;22,01;49,33;80,33;18,3;67;14,7;61,68;20,03;38,5
Brasil;Todas;0;Todas;0;BR;2034;228437122;111386062;117051060;2579544;1812136;11,29;7,93;79,18;75,86;82,51;8,44;9,04;7,81;1,71;0,0485;0,0791;0,0839;0,0736;0,0431;0,0123;0,0014;27,04;22,65;49,69;83,43;18,1;66,8;15,1;61,47;20,47;38,89
Brasil;Todas;0;Todas;0;BR;2035;229173685;111724392;117449293;2557147;1851454;11,16;8,08;79,3;75,99;82,62;8,32;8,92;7,7;1,71;0,0479;0,0785;0,0839;0,0739;0,0433;0,0124;0,0015;26,76;23,28;50,04;87,08;17,8;66,6;15,5;61,24;20,93;39,27
Brasil;Todas;0;Todas;0;BR;2036;229847832;112032426;117815406;2534413;1891832;11,03;8,23;79,42;76,11;82,73;8,22;8,8;7,6;1,7;0,0473;0,078;0,0839;0,0741;0,0435;0,0125;0,0015;26,48;23,9;50,39;90,34;17,6;66,5;15,9;60,98;21,41;39,65
Brasil;Todas;0;Todas;0;BR;2037;230459062;112309958;118149104;2513030;1933167;10,9;8,39;79,53;76,23;82,83;8,12;8,69;7,51;1,7;0,0467;0,0774;0,0839;0,0744;0,0437;0,0126;0,0015;26,22;24,52;50,74;93,68;17,4;66,3;16,3;60,7;21,9;40,03
Brasil;Todas;0;Todas;0;BR;2038;231007871;112557327;118450544;2493021;1975283;10,79;8,55;79,63;76,34;82,93;8,02;8,59;7,42;1,7;0,0461;0,0769;0,0839;0,0747;0,044;0,0127;0,0016;25,97;25,13;51,1;96,51;17,2;66,2;16,6;60,4;22,41;40,41
Brasil;Todas;0;Todas;0;BR;2039;231494650;112774820;118719830;2473758;2017958;10,69;8,72;79,73;76,45;83,02;7,93;8,49;7,34;1,7;0,0455;0,0764;0,0839;0,075;0,0442;0,0128;0,0016;25,74;25,77;51,52;100;17;66;17;60,08;22,93;40,78
Brasil;Todas;0;Todas;0;BR;2040;231919922;112962751;118957171;2455519;2060782;10,59;8,89;79,83;76,55;83,11;7,85;8,4;7,27;1,69;0,0449;0,0759;0,0839;0,0752;0,0444;0,0129;0,0016;25,54;26,46;51,99;103,57;16,8;65,8;17,4;59,74;23,46;41,14
Brasil;Todas;0;Todas;0;BR;2041;232284233;113121438;119162795;2437785;2103915;10,49;9,06;79,92;76,65;83,2;7,77;8,32;7,2;1,69;0,0444;0,0754;0,0839;0,0755;0,0446;0,013;0,0017;25,35;27,18;52,53;107,23;16,6;65,6;17,8;59,39;23,99;41,49
Brasil;Todas;0;Todas;0;BR;2042;232588580;113251454;119337126;2422219;2147419;10,41;9,23;80;76,74;83,28;7,7;8,24;7,13;1,69;0,0438;0,0749;0,0839;0,0758;0,0448;0,0131;0,0017;25,19;27,93;53,13;110,3;16,5;65,3;18,2;59,02;24,53;41,82
Brasil;Todas;0;Todas;0;BR;2043;232834065;113353443;119480622;2407325;2191168;10,34;9,41;80,09;76,83;83,36;7,63;8,16;7,06;1,69;0,0433;0,0745;0,0839;0,0761;0,045;0,0132;0,0017;25,06;28,73;53,78;114,72;16,3;65;18,7;58,64;25,07;42,14
Brasil;Todas;0;Todas;0;BR;2044;233020996;113427597;119593399;2392409;2234730;10,27;9,59;80,17;76,92;83,43;7,56;8,09;7;1,69;0,0428;0,074;0,0839;0,0764;0,0452;0,0132;0,0018;24,94;29,55;54,49;118,63;16,1;64,7;19,1;58,26;25,6;42,43
Brasil;Todas;0;Todas;0;BR;2045;233149625;113474061;119675564;2377677;2278119;10,2;9,77;80,24;77;83,5;7,5;8,02;6,95;1,68;0,0422;0,0735;0,0839;0,0766;0,0455;0,0133;0,0018;24,85;30,4;55,25;122,5;16;64,4;19,6;57,88;26,11;42,71
Brasil;Todas;0;Todas;0;BR;2046;233220257;113493052;119727205;2363150;2321466;10,13;9,95;80,31;77,08;83,57;7,44;7,96;6,9;1,68;0,0417;0,0731;0,0839;0,0769;0,0457;0,0134;0,0018;24,77;31,27;56,04;125,79;15,9;64,1;20;57,51;26,61;42,97
Brasil;Todas;0;Todas;0;BR;2047;233233670;113485011;119748659;2349527;2364398;10,07;10,14;80,38;77,16;83,63;7,39;7,9;6,84;1,68;0,0412;0,0726;0,084;0,0772;0,046;0,0135;0,0019;24,72;32,17;56,89;129,75;15,8;63,7;20,5;57,15;27,1;43,22
Brasil;Todas;0;Todas;0;BR;2048;233190482;113450253;119740229;2335541;2407046;10,02;10,32;80,45;77,23;83,7;7,33;7,84;6,8;1,68;0,0406;0,0721;0,084;0,0774;0,0462;0,0136;0,0019;24,68;33,08;57,76;134,62;15,6;63,4;21;56,79;27,56;43,47
Brasil;Todas;0;Todas;0;BR;2049;233090464;113388652;119701812;2320604;2449148;9,96;10,51;80,51;77,3;83,75;7,29;7,79;6,75;1,68;0,0401;0,0717;0,084;0,0777;0,0465;0,0137;0,0019;24,66;33,99;58,64;138,06;15,5;63;21,4;56,44;28,02;43,7
Brasil;Todas;0;Todas;0;BR;2050;232933276;113300060;119633216;2304717;2490559;9,89;10,69;80,57;77,37;83,81;7,24;7,74;6,71;1,68;0,0396;0,0712;0,084;0,0779;0,0467;0,0138;0,0019;24,64;34,88;59,52;142,21;15,4;62,7;21,9;56,11;28,45;43,92
Brasil;Todas;0;Todas;0;BR;2051;232719169;113184593;119534576;2288973;2531362;9,84;10,88;80,63;77,43;83,86;7,2;7,69;6,67;1,67;0,0392;0,0709;0,084;0,0781;0,0469;0,0138;0,002;24,63;35,76;60,38;144,81;15,4;62,4;22,3;55,78;28,86;44,12
Brasil;Todas;0;Todas;0;BR;2052;232448867;113042592;119406275;2273127;2571362;9,78;11,06;80,68;77,49;83,91;7,16;7,65;6,64;1,67;0,0389;0,0706;0,0839;0,0782;0,047;0,0139;0,002;24,62;36,62;61,24;148,37;15,3;62;22,7;55,47;29,26;44,31
Brasil;Todas;0;Todas;0;BR;2053;232122448;112874076;119248372;2255972;2610595;9,72;11,25;80,74;77,55;83,96;7,12;7,61;6,6;1,67;0,0386;0,0702;0,0839;0,0784;0,0472;0,014;0,002;24,62;37,45;62,07;151,97;15,2;61,7;23,1;55,17;29,63;44,49
Brasil;Todas;0;Todas;0;BR;2054;231739632;112678873;119060759;2237804;2648830;9,66;11,43;80,78;77,61;84;7,08;7,57;6,57;1,67;0,0383;0,0699;0,0838;0,0785;0,0473;0,0141;0,002;24,62;38,26;62,89;155,63;15,1;61,4;23,5;54,87;30,01;44,66
Brasil;Todas;0;Todas;0;BR;2055;231300323;112456873;118843450;2218450;2686056;9,59;11,61;80,83;77,66;84,04;7,05;7,54;6,54;1,67;0,038;0,0695;0,0838;0,0786;0,0474;0,0141;0,002;24,63;39,05;63,68;159,33;15;61,1;23,9;54,57;30,39;44,82
Brasil;Todas;0;Todas;0;BR;2056;230805223;112208379;118596844;2199622;2722232;9,53;11,79;80,88;77,71;84,08;7,02;7,5;6,51;1,67;0,0376;0,0692;0,0838;0,0788;0,0475;0,0142;0,0021;24,63;39,81;64,43;161,33;15;60,8;24,2;54,26;30,77;44,98
Brasil;Todas;0;Todas;0;BR;2057;230255685;111934042;118321643;2180831;2757317;9,47;11,98;80,92;77,76;84,12;6,99;7,47;6,48;1,66;0,0373;0,0688;0,0837;0,0789;0,0477;0,0143;0,0021;24,62;40,52;65,15;164,43;14,9;60,6;24,5;53,94;31,15;45,14
Brasil;Todas;0;Todas;0;BR;2058;229652286;111634119;118018167;2161015;2791329;9,41;12,15;80,96;77,81;84,16;6,96;7,44;6,46;1,66;0,037;0,0685;0,0837;0,079;0,0478;0,0143;0,0021;24,62;41,22;65,84;168,24;14,8;60,3;24,9;53,63;31,52;45,29
Brasil;Todas;0;Todas;0;BR;2059;228995541;111308845;117686696;2141033;2824224;9,35;12,33;81;77,86;84,19;6,94;7,41;6,44;1,66;0,0367;0,0682;0,0836;0,0792;0,0479;0,0144;0,0021;24,61;41,91;66,53;170,27;14,8;60,1;25,2;53,35;31,87;45,45
Brasil;Todas;0;Todas;0;BR;2060;228286347;110958642;117327705;2120842;2856059;9,29;12,51;81,04;77,9;84,23;6,91;7,39;6,42;1,66;0,0363;0,0678;0,0836;0,0793;0,0481;0,0145;0,0021;24,61;42,62;67,23;173,47;14,7;59,8;25,5;53,1;32,18;45,62
Brasil;Norte;1;Todas;0;;2010;16246130;8203149;8042981;327889;92222;20,18;5,68;70,79;67,58;74,44;21,12;23,15;18,99;2,21;0,0966;0,1354;0,1028;0,0631;0,032;0,0107;0,0017;50,31;7,13;57,43;14,06;32;63,5;4,5;61,3;6,74;24
Brasil;Norte;1;Todas;0;;2011;16490166;8321963;8168203;332262;93097;20,15;5,65;71,05;67,8;74,73;20,44;22,41;18,36;2,21;0,0971;0,1329;0,1025;0,0644;0,0327;0,0107;0,0016;48,85;7,19;56,04;14,7;31,3;64,1;4,6;61,8;6,89;24,38
Brasil;Norte;1;Todas;0;;2012;16732473;8439667;8292806;326615;94207;19,52;5,63;71,29;68,03;75,01;19,78;21,7;17,76;2,14;0,095;0,1268;0,0984;0,0638;0,0325;0,0103;0,0014;47,39;7,26;54,66;15,36;30,6;64,7;4,7;62,3;7,06;24,76
Brasil;Norte;1;Todas;0;;2013;16971695;8555588;8416107;328619;95422;19,36;5,62;71,54;68,24;75,27;19,17;21,04;17,2;2,13;0,0948;0,1242;0,0975;0,0646;0,0327;0,0102;0,0012;45,95;7,35;53,31;16;30;65,2;4,8;62,79;7,24;25,15
Brasil;Norte;1;Todas;0;;2014;17214537;8673168;8541369;336715;96866;19,56;5,63;71,77;68,45;75,53;18,6;20,42;16,68;2,15;0,0958;0,1245;0,0986;0,0664;0,0336;0,0102;0,0012;44,66;7,46;52,12;16,67;29,4;65,7;4,9;63,22;7,43;25,52
Brasil;Norte;1;Todas;0;;2015;17458469;8791176;8667293;332907;98336;19,07;5,63;72;68,66;75,79;18,06;19,84;16,18;2,11;0,0927;0,1208;0,096;0,0663;0,0341;0,01;0,0011;43,5;7,59;51,09;17,36;28,8;66,2;5;63,58;7,63;25,89
Brasil;Norte;1;Todas;0;;2016;17691399;8903525;8787874;315237;99687;17,82;5,63;72,23;68,86;76,03;17,55;19,29;15,72;1,98;0,0851;0,1129;0,09;0,0633;0,0331;0,0097;0,0011;42,32;7,74;50,06;18,44;28,2;66,6;5,2;63,95;7,85;26,29
Brasil;Norte;1;Todas;0;;2017;17929800;9019452;8910348;331075;101363;18,47;5,65;72,44;69,05;76,26;17,08;18,77;15,29;2,06;0,0878;0,1171;0,0942;0,0662;0,0347;0,01;0,0011;41,26;7,92;49,18;19,13;27,7;67;5,3;64,26;8,08;26,68
Brasil;Norte;1;Todas;0;;2018;18182253;9143407;9038846;330156;103300;18,16;5,68;72,65;69,25;76,49;16,63;18,29;14,88;2,03;0,0861;0,1154;0,0937;0,0659;0,0346;0,0099;0,0012;40,35;8,11;48,46;20,22;27,2;67,4;5,5;64,51;8,31;27,07
Brasil;Norte;1;Todas;0;;2019;18430980;9265204;9165776;329053;105196;17,85;5,71;72,86;69,43;76,71;16,21;17,84;14,51;2,01;0,0845;0,1139;0,0932;0,0657;0,0346;0,0098;0,0012;39,51;8,32;47,83;20,97;26,7;67,6;5,6;64,72;8,55;27,47
Brasil;Norte;1;Todas;0;;2020;18672591;9382746;9289845;327779;107157;17,55;5,74;73,06;69,62;76,92;15,82;17,41;14,15;2;0,083;0,1124;0,0928;0,0655;0,0345;0,0098;0,0012;38,72;8,55;47,27;22,05;26,3;67,9;5,8;64,9;8,8;27,86
Brasil;Norte;1;Todas;0;;2021;18906962;9495984;9410978;326575;109197;17,27;5,78;73,25;69,8;77,13;15,46;17,01;13,82;1,98;0,0816;0,111;0,0924;0,0653;0,0345;0,0097;0,0013;37,94;8,79;46,73;23,17;25,9;68,2;6;65,08;9,07;28,25
Brasil;Norte;1;Todas;0;;2022;19133894;9604825;9529069;325077;111335;16,99;5,82;73,44;69,97;77,32;15,11;16,64;13,51;1,96;0,0802;0,1098;0,0922;0,0652;0,0345;0,0096;0,0013;37,22;9,05;46,27;24,41;25,4;68,4;6,2;65,22;9,34;28,64
Brasil;Norte;1;Todas;0;;2023;19353062;9709114;9643948;323432;113574;16,71;5,87;73,62;70,14;77,51;14,8;16,29;13,22;1,95;0,079;0,1085;0,0919;0,0651;0,0345;0,0095;0,0013;36,55;9,33;45,88;25,5;25,1;68,5;6,4;65,32;9,62;29,04
Brasil;Norte;1;Todas;0;;2024;19566181;9809966;9756215;321629;115888;16,44;5,92;73,8;70,31;77,69;14,5;15,97;12,95;1,94;0,0778;0,1074;0,0917;0,0651;0,0345;0,0095;0,0014;35,93;9,63;45,56;26,72;24,7;68,7;6,6;65,4;9,92;29,44
Brasil;Norte;1;Todas;0;;2025;19774881;9908456;9866425;319490;118276;16,16;5,98;73,97;70,47;77,87;14,22;15,66;12,7;1,93;0,0767;0,1063;0,0916;0,0651;0,0346;0,0094;0,0014;35,43;9,94;45,36;27,87;24,4;68,8;6,8;65,4;10,22;29,85
Brasil;Norte;1;Todas;0;;2026;19978891;10004458;9974433;317339;120777;15,88;6,05;74,14;70,63;78,04;13,96;15,37;12,47;1,91;0,0756;0,1054;0,0915;0,0651;0,0347;0,0094;0,0014;34,96;10,26;45,22;29,46;24,1;68,9;7,1;65,38;10,55;30,26
Brasil;Norte;1;Todas;0;;2027;20178103;10097924;10080179;315220;123399;15,62;6,12;74,3;70,79;78,2;13,71;15,11;12,25;1,91;0,0745;0,1044;0,0914;0,0651;0,0348;0,0093;0,0015;34,51;10,59;45,1;30,67;23,8;68,9;7,3;65,33;10,88;30,67
Brasil;Norte;1;Todas;0;;2028;20372417;10188810;10183607;313082;126114;15,37;6,19;74,46;70,94;78,36;13,48;14,85;12,04;1,9;0,0735;0,1036;0,0913;0,0652;0,0349;0,0093;0,0015;34,08;10,94;45,02;31,91;23,5;69;7,5;65,27;11,23;31,09
Brasil;Norte;1;Todas;0;;2029;20561817;10277108;10284709;311142;128950;15,13;6,27;74,61;71,09;78,51;13,27;14,62;11,85;1,89;0,0725;0,1028;0,0913;0,0652;0,035;0,0092;0,0015;33,61;11,3;44,91;33,62;23,2;69;7,8;65,22;11,59;31,51
Brasil;Norte;1;Todas;0;;2030;20746288;10362824;10383464;309185;131872;14,9;6,36;74,76;71,23;78,66;13,07;14,4;11,68;1,88;0,0715;0,102;0,0914;0,0653;0,0352;0,0092;0,0016;33,12;11,68;44,8;35,37;22,9;69,1;8,1;65,17;11,95;31,92
Brasil;Norte;1;Todas;0;;2031;20925571;10445857;10479714;306809;134894;14,66;6,45;74,91;71,37;78,8;12,89;14,19;11,51;1,87;0,0705;0,1012;0,0914;0,0654;0,0353;0,0092;0,0016;32,74;12,08;44,82;36,73;22,6;69;8,3;65,07;12,32;32,34
Brasil;Norte;1;Todas;0;;2032;21099439;10526117;10573322;304515;138033;14,43;6,54;75,05;71,51;78,93;12,71;14;11,35;1,87;0,0696;0,1005;0,0915;0,0656;0,0354;0,0092;0,0016;32,37;12,5;44,88;38,57;22,3;69;8,6;64,95;12,7;32,75
Brasil;Norte;1;Todas;0;;2033;21267960;10603646;10664314;302513;141291;14,22;6,64;75,18;71,64;79,06;12,54;13,81;11,2;1,86;0,0687;0,0998;0,0916;0,0657;0,0356;0,0091;0,0017;31,94;12,93;44,88;40,45;22;69;8,9;64,86;13,09;33,15
Brasil;Norte;1;Todas;0;;2034;21431247;10678505;10752742;300654;144638;14,03;6,75;75,31;71,78;79,19;12,38;13,64;11,06;1,86;0,0678;0,0991;0,0918;0,0658;0,0357;0,0091;0,0017;31,53;13,38;44,91;42,2;21,8;69;9,2;64,75;13,5;33,55
Brasil;Norte;1;Todas;0;;2035;21589328;10750718;10838610;298906;148105;13,85;6,86;75,44;71,9;79,31;12,24;13,48;10,93;1,85;0,067;0,0985;0,092;0,066;0,0359;0,0091;0,0017;31,13;13,84;44,97;44,19;21,5;69;9,5;64,6;13,92;33,94
Brasil;Norte;1;Todas;0;;2036;21742038;10820210;10921828;296926;151647;13,66;6,97;75,57;72,03;79,43;12,1;13,33;10,8;1,85;0,0661;0,0979;0,0921;0,0662;0,0361;0,0091;0,0018;30,74;14,3;45,05;46,7;21,2;68,9;9,9;64,44;14,37;34,32
Brasil;Norte;1;Todas;0;;2037;21889216;10886906;11002310;295033;155299;13,48;7,09;75,69;72,15;79,54;11,97;13,19;10,68;1,84;0,0653;0,0972;0,0924;0,0664;0,0362;0,0091;0,0018;30,37;14,78;45,15;48,8;20,9;68,9;10,2;64,25;14,83;34,7
Brasil;Norte;1;Todas;0;;2038;22030869;10950818;11080051;293286;159057;13,31;7,22;75,8;72,27;79,64;11,84;13,05;10,57;1,84;0,0645;0,0966;0,0926;0,0666;0,0364;0,009;0,0018;30,02;15,28;45,3;50,72;20,7;68,8;10,5;64,03;15,31;35,07
Brasil;Norte;1;Todas;0;;2039;22166994;11011954;11155040;291608;162930;13,16;7,35;75,91;72,38;79,74;11,73;12,92;10,47;1,83;0,0637;0,0961;0,0928;0,0668;0,0366;0,009;0,0019;29,69;15,8;45,49;53,43;20,4;68,7;10,9;63,8;15,8;35,42
Brasil;Norte;1;Todas;0;;2040;22297611;11070339;11227272;290072;166855;13,01;7,48;76,03;72,5;79,85;11,62;12,81;10,38;1,83;0,063;0,0955;0,093;0,0671;0,0367;0,009;0,0019;29,38;16,36;45,73;55,45;20,2;68,6;11,2;63,54;16,3;35,78
Brasil;Norte;1;Todas;0;;2041;22422681;11125966;11296715;288483;170894;12,87;7,62;76,13;72,61;79,94;11,52;12,69;10,29;1,83;0,0622;0,095;0,0933;0,0673;0,0369;0,009;0,0019;29,09;16,94;46,04;58,29;19,9;68,5;11,6;63,27;16,81;36,13
Brasil;Norte;1;Todas;0;;2042;22542125;11178810;11363315;286982;175026;12,73;7,76;76,24;72,72;80,03;11,42;12,58;10,2;1,83;0,0615;0,0944;0,0935;0,0676;0,0371;0,009;0,002;28,83;17,56;46,4;60,91;19,7;68,3;12;62,98;17,33;36,48
Brasil;Norte;1;Todas;0;;2043;22655903;11228866;11427037;285503;179246;12,6;7,91;76,34;72,82;80,12;11,33;12,48;10,12;1,82;0,0607;0,0939;0,0938;0,0678;0,0373;0,009;0,002;28,6;18,21;46,81;63,59;19,5;68,1;12,4;62,67;17,85;36,82
Brasil;Norte;1;Todas;0;;2044;22763945;11276106;11487839;284009;183524;12,48;8,06;76,43;72,92;80,2;11,25;12,39;10,05;1,82;0,06;0,0934;0,094;0,0681;0,0375;0,009;0,002;28,38;18,89;47,27;66,32;19,3;67,9;12,8;62,36;18,36;37,16
Brasil;Norte;1;Todas;0;;2045;22866231;11320534;11545697;282601;187862;12,36;8,22;76,53;73,02;80,28;11,16;12,3;9,98;1,82;0,0592;0,0929;0,0943;0,0684;0,0377;0,009;0,0021;28,18;19,58;47,77;69,63;19,1;67,7;13,3;62,06;18,87;37,49
Brasil;Norte;1;Todas;0;;2046;22962767;11362165;11600602;281254;192263;12,25;8,37;76,62;73,12;80,36;11,09;12,22;9,91;1,82;0,0585;0,0924;0,0946;0,0686;0,038;0,009;0,0021;28,01;20,3;48,3;72,49;18,9;67,4;13,7;61,75;19,36;37,81
Brasil;Norte;1;Todas;0;;2047;23053529;11400993;11652536;279908;196713;12,14;8,53;76,71;73,22;80,44;11,02;12,13;9,85;1,81;0,0578;0,092;0,0949;0,0689;0,0382;0,0089;0,0021;27,85;21,04;48,89;75,4;18,7;67,2;14,1;61,45;19,85;38,12
Brasil;Norte;1;Todas;0;;2048;23138408;11436975;11701433;278451;201222;12,03;8,7;76,8;73,31;80,51;10,95;12,06;9,79;1,81;0,0571;0,0915;0,0952;0,0692;0,0384;0,0089;0,0022;27,71;21,79;49,5;78,92;18,5;66,9;14,6;61,14;20,32;38,41
