ano;nome_uf;codigo_uf;sigla_uf;nome_regiao;codigo_regiao;familia;denominacao;quantidade
1998;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;10;3
1998;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;50;3
1998;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;100;3
1998;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;50;6
1998;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;100;4
1998;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;5;32
1998;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;10;1016
1998;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;50;791
1998;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;100;347
1998;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;5;9
1998;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;10;35
1998;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;50;207
1998;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;100;56
1998;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;50;11
1998;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;100;6
1999;Acre;12;AC;Norte;1;Cédulas - 1a. família;10;10
1999;Acre;12;AC;Norte;1;Cédulas - 1a. família;50;49
1999;Acre;12;AC;Norte;1;Cédulas - 1a. família;100;2
1999;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;5;11
1999;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;10;67
1999;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;50;105
1999;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;100;3
1999;Amapá;16;AP;Norte;1;Cédulas - 1a. família;10;46
1999;Amapá;16;AP;Norte;1;Cédulas - 1a. família;50;5
1999;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;5;5
1999;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;10;41
1999;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;50;136
1999;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;100;121
1999;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;5;83
1999;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;10;570
1999;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;50;164
1999;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;100;8
1999;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;5;45
1999;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;10;90
1999;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;50;136
1999;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;100;9
1999;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;5;68
1999;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;10;113
1999;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;50;4505
1999;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;100;827
1999;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;5;18
1999;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;10;252
1999;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;50;582
1999;Espírito Santo;32;ES;Sudeste;3;Cédulas - 1a. família;100;9
1999;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;5;59
1999;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;10;549
1999;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;50;212
1999;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;100;11
1999;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;5;4
1999;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;10;63
1999;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;50;69
1999;Maranhão;21;MA;Nordeste;2;Cédulas - 1a. família;100;1
1999;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;5;4
1999;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;10;94
1999;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;50;126
1999;Mato Grosso;51;MT;Centro-Oeste;5;Cédulas - 1a. família;100;13
1999;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;5;2
1999;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;10;501
1999;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;50;1014
1999;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;100;33
1999;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;1;11
1999;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;5;79
1999;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;10;800
1999;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;50;740
1999;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;100;30
1999;Pará;15;PA;Norte;1;Cédulas - 1a. família;5;1
1999;Pará;15;PA;Norte;1;Cédulas - 1a. família;10;103
1999;Pará;15;PA;Norte;1;Cédulas - 1a. família;50;85
1999;Pará;15;PA;Norte;1;Cédulas - 1a. família;100;8
1999;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;5;14
1999;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;10;16
1999;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;50;49
