"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25001;10000624280;1428824;"suplente";206
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25220;10000624281;765975;"suplente";1305
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25789;10000624283;1785687;"suplente";318
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25556;10000624290;1429158;"suplente";237
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25888;10000624291;1178540;"suplente";290
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25000;10000624295;712536;"suplente";2168
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25456;10000624305;479202;"eleito por qp";5021
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25025;10000624306;766984;"suplente";1084
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25190;10000624308;1438547;"suplente";96
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25125;10000624309;209705;"suplente";29
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25146;10000624311;660664;"suplente";65
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25128;10000624312;352434;"suplente";27
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25222;10000624313;1680014;"suplente";329
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25333;10000624314;1512255;"suplente";621
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DEM";25998;10000629192;1133071;"suplente";6
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15191;10000610625;648679;"suplente";261
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15333;10000610626;1611267;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15120;10000610627;527633;"suplente";191
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15000;10000610628;1462277;"eleito por qp";9405
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15999;10000610629;1320308;"suplente";981
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15151;10000610630;712651;"suplente";53
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15555;10000610631;825443;"suplente";4909
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15789;10000610632;1102607;"suplente";33
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15133;10000610633;987956;"suplente";74
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15122;10000610634;1276214;"eleito por media";9139
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15100;10000610635;712201;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15222;10000610636;1398984;"suplente";78
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15111;10000610637;1347133;"eleito por qp";10349
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15131;10000610638;768358;"suplente";32
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15185;10000610639;1408231;"suplente";38
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"MDB";15234;10000610640;1358276;"suplente";332
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PATRIOTA";51123;10000600228;1276008;"suplente";1075
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PC do B";65123;10000608372;798934;"eleito por qp";6662
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PC do B";65789;10000608373;1388848;"eleito por qp";8253
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PC do B";65555;10000608374;1052974;"suplente";124
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PC do B";65333;10000618813;1132798;"suplente";7
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PC do B";65478;10000618814;1054486;"suplente";75
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12123;10000602281;973898;"eleito por qp";3429
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12000;10000602283;1669776;"suplente";2175
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12444;10000602284;1427505;"suplente";2802
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12222;10000602285;768950;"suplente";494
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12344;10000602286;1613457;"suplente";319
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12012;10000602291;1225728;"suplente";2870
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12122;10000602292;1233401;"suplente";258
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12221;10000602293;137097;"suplente";42
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12223;10000602294;1286277;"suplente";35
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12369;10000602296;731911;"suplente";1296
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12321;10000602297;1356622;"suplente";131
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12100;10000602298;660963;"suplente";293
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12333;10000602302;1557806;"suplente";2252
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12300;10000602306;963197;"suplente";190
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12018;10000602307;1140355;"suplente";168
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12111;10000602308;1339532;"suplente";594
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12345;10000602309;1366954;"suplente";2210
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12121;10000602310;1657466;"suplente";495
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12999;10000602313;659067;"suplente";186
